Borough,Collision ID,Contributing Factor 1,Crash Date,Crash Time,Latitude,Location,Longitude,Number of Cyclists Injured,Number of Cyclists Killed,Number of Motorists Injured,Number of Motorists Killed,Number of Pedestrians Injured,number_of_pedestrians_killed,Number of Persons Killed,Number of Persons Killed,Vehicle 1 Code,Zip Code
QUEENS,4371076,Unsafe Speed,2020-11-27T00:00:00.000,2020-12-14 13:04:00,40.58797,"{'latitude': '40.58797', 'longitude': '-73.80768'}",-73.80768,0,0,1,0,0,0,1,0,Sedan,11693.0
QUEENS,4359447,Unspecified,2020-10-19T00:00:00.000,2020-12-14 16:20:00,40.77465,"{'latitude': '40.77465', 'longitude': '-73.922035'}",-73.922035,0,0,0,0,0,0,0,0,Sedan,11102.0
BROOKLYN,4364230,Failure to Yield Right-of-Way,2020-11-04T00:00:00.000,2020-12-14 09:25:00,40.694794,"{'latitude': '40.694794', 'longitude': '-73.98246'}",-73.98246,0,0,1,0,0,0,1,0,Sedan,11201.0
BROOKLYN,4361401,Driver Inattention/Distraction,2020-10-25T00:00:00.000,2020-12-14 21:55:00,40.68097,"{'latitude': '40.68097', 'longitude': '-73.8915'}",-73.8915,0,0,0,0,0,0,0,0,Sedan,11207.0
MANHATTAN,4374445,Unsafe Lane Changing,2020-11-16T00:00:00.000,2020-12-14 07:00:00,40.75619,"{'latitude': '40.75619', 'longitude': '-73.99057'}",-73.99057,0,0,0,0,0,0,0,0,Box Truck,10018.0
QUEENS,4360845,Passing or Lane Usage Improper,2020-10-24T00:00:00.000,2020-12-14 17:25:00,40.70375,"{'latitude': '40.70375', 'longitude': '-73.79916'}",-73.79916,0,0,0,0,0,0,0,0,Sedan,11432.0
MANHATTAN,4372559,Unsafe Lane Changing,2020-11-23T00:00:00.000,2020-12-14 12:04:00,40.724693,"{'latitude': '40.724693', 'longitude': '-73.99419'}",-73.99419,0,0,0,0,0,0,0,0,Sedan,10012.0
BROOKLYN,4363232,Passing or Lane Usage Improper,2020-11-01T00:00:00.000,2020-12-14 08:50:00,40.69362,"{'latitude': '40.69362', 'longitude': '-73.93418'}",-73.93418,0,0,0,0,0,0,0,0,Sedan,11221.0
BROOKLYN,4370877,Passing Too Closely,2020-11-22T00:00:00.000,2020-12-14 15:15:00,40.684814,"{'latitude': '40.684814', 'longitude': '-73.98353'}",-73.98353,0,0,0,0,0,0,0,0,Sedan,11217.0
MANHATTAN,4365192,Fell Asleep,2020-11-08T00:00:00.000,2020-12-14 03:55:00,40.807785,"{'latitude': '40.807785', 'longitude': '-73.93495'}",-73.93495,0,0,0,0,0,0,0,0,Sedan,10037.0
